experiment_id,scenario_id,mode,partition_point,load_model_name,active_server_model_name,load_rps_target,duration_s
exp_003,1,full_server,,resnet18_full,resnet18_full,0.0,25.0
exp_003,2,full_server,,resnet18_full,resnet18_full,100.0,25.0
exp_003,3,full_server,,resnet18_full,resnet18_full,150.0,25.0
exp_003,4,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,0.0,25.0
exp_003,5,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,100.0,25.0
exp_003,6,split,stem,resnet18_tail_after_stem,resnet18_tail_after_stem,150.0,25.0
exp_003,7,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,0.0,25.0
exp_003,8,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,100.0,25.0
exp_003,9,split,layer1.0,resnet18_tail_after_layer1_0,resnet18_tail_after_layer1_0,150.0,25.0
exp_003,10,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,0.0,25.0
exp_003,11,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,100.0,25.0
exp_003,12,split,layer1.1,resnet18_tail_after_layer1_1,resnet18_tail_after_layer1_1,150.0,25.0
exp_003,13,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,0.0,25.0
exp_003,14,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,100.0,25.0
exp_003,15,split,layer2.0,resnet18_tail_after_layer2_0,resnet18_tail_after_layer2_0,150.0,25.0
exp_003,16,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,0.0,25.0
exp_003,17,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,100.0,25.0
exp_003,18,split,layer2.1,resnet18_tail_after_layer2_1,resnet18_tail_after_layer2_1,150.0,25.0
exp_003,19,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,0.0,25.0
exp_003,20,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,100.0,25.0
exp_003,21,split,layer3.0,resnet18_tail_after_layer3_0,resnet18_tail_after_layer3_0,150.0,25.0
exp_003,22,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,0.0,25.0
exp_003,23,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,100.0,25.0
exp_003,24,split,layer3.1,resnet18_tail_after_layer3_1,resnet18_tail_after_layer3_1,150.0,25.0
exp_003,25,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,0.0,25.0
exp_003,26,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,100.0,25.0
exp_003,27,split,layer4.0,resnet18_tail_after_layer4_0,resnet18_tail_after_layer4_0,150.0,25.0
exp_003,28,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,0.0,25.0
exp_003,29,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,100.0,25.0
exp_003,30,split,layer4.1,resnet18_tail_after_layer4_1,resnet18_tail_after_layer4_1,150.0,25.0
exp_003,31,full_local,,,,0.0,25.0
